#,Data,Agente,Informações do sinal digital de FC,,Indicadores de Severidade Sistêmica (ISSs),,Link para pasta sincrofasores,Link para pasta oscilografias
,,,Início [UTÁ],          Início [BSB]           (* - dia anterior),TR (ms),Variação da Defasagem Angular,,
1,29/02/24,BMTE,18:47:05.416,15:47:05.416,,,📂,Osc não disponíveis
2,06/03/24,BMTE,20:59:48.708,17:59:48.708,127,'13,82',📂,📂
3,15/03/24,BMTE,04:12:34.716,01:12:34.716,164,'5,23',📂,Osc não disponíveis
4,16/03/24,BMTE,19:53:27:641,16:53:27.641,114,'14,19',📂,Osc não disponíveis
5,07/04/24,BMTE,23:27:49.958,20:27:49.958,204,'15,44',📂,📂
6,23/04/24,BMTE,18:43:48.741,15:43:48.741,225,'19,11',📂,📂
7,23/04/24,BMTE,18:47:13.833,15:47:13.833,227,'22,38',📂,📂
8,29/04/24,BMTE,15:21:35.808,12:21:35.808,191,'14,51',📂,📂
9,08/05/24,BMTE,23:22:59.958,20:22:59.958,127,'31,38',📂,📂
10,17/05/24,BMTE,18:12:34.933,15:12:34.933,221,'38,59',📂,Osc não disponíveis
11,23/05/24,BMTE,23:25:44.966,20:25:44.966,193,'11,98',📂,Osc não disponíveis
12,12/06/24,BMTE,4:36:15.166,01:36:15.166,134,'0,511',📂,Osc não disponíveis
13,10/07/24,BMTE,5:14:42.375,02:14:42.375,213,'2,24',📂,Osc não disponíveis
14,24/08/24,BMTE,20:39:52.025,17:39:52.025,48,'0,598',📂,Osc não disponíveis
15,05/09/24,BMTE,14:24:27.883,11:24:27.883,60,'-0,915',📂,Osc não disponíveis
16,15/09/24,BMTE,00:57:46.433,21:57:46.433*,223,'-1,244',📂,Osc não disponíveis
17,15/09/24,BMTE,00:58:14.250,21:58:14.250*,168,'-1,551',📂,Osc não disponíveis
18,21/09/24,BMTE,21:54:59.283,18:54:59.283,216,'2,84',📂,Osc não disponíveis
19,24/09/24,BMTE,19:47:05.341,16:47:05.341,118,,📂,📂
20,27/09/24,BMTE,03:29:20.325,00:29:20.325,46,'-1,318',📂,Osc não disponíveis
21,27/09/24,BMTE,15:22:05.850,12:22:05.850,78,'0,45',📂,Osc não disponíveis
22,29/09/24,BMTE,04:22:08.183,01:22:08.183,96,'0,414',📂,Osc não disponíveis
23,12/10/24,BMTE,19:16:08.408,16:16:08.408,5,'-2,329',📂,📂
24,24/10/24,BMTE,21:33:51.300,18:33:51.300,204,'1,08',📂,Osc não disponíveis
25,26/10/24,BMTE,16:21:22.166,13:21:22.166,529,'0,237',📂,📂
26,03/11/24,BMTE,7:46:15.250,04:46:15.250,183,'0,64',📂,Osc não disponíveis
27,02/12/24,BMTE,18:51:25.608,15:51:25.608,162,'1,886',📂,Osc não disponíveis
28,09/12/24,BMTE,21:28:37.466,18:28:37.466,199,'5,36',📂,Osc não disponíveis
29,06/02/25,BMTE,18:51:12.733,15:51:12.733,92,'6,66',📂,Osc não disponíveis
30,10/02/25,BMTE,20:50:09.133,17:50:09.133,96,'5,14',📂,Osc não disponíveis
31,05/03/25,BMTE,20:35:37.741,17:35:37.741,191,'25,07',📂,Osc não disponíveis
32,13/03/25,BMTE,17:55:01.991,14:55:01.991,146,'3,4',📂,Osc não disponíveis
33,13/03/25,XRTE,23:10:35.206 ,20:10:35.206,,,SFs não disponíveis,📂
34,13/03/25,XRTE,23:13:44.973 ,20:13:44.973,,,SFs não disponíveis,📂
35,13/03/25,XRTE,23:32:53.537 ,20:32:53.537,,,SFs não disponíveis,📂
36,14/03/25,XRTE,07:19:13.508 ,04:19:13.508,,,SFs não disponíveis,📂
37,14/03/25,XRTE,00:56:38.527 ,21:56:38.527*,,,SFs não disponíveis,📂
38,14/03/25,XRTE,01:42:51.074 ,22:42:51.074*,,,SFs não disponíveis,📂
39,14/03/25,XRTE,01:50:52.354 ,22:50:52.354*,,,SFs não disponíveis,📂
40,14/03/25,XRTE,02:16:06.220 ,23:16:06.220*,,,SFs não disponíveis,📂
41,18/03/25,XRTE,21:37:23.384 ,18:37:23.384,,,SFs não disponíveis,📂
42,18/03/25,BMTE,22:45:08.125,19:45:08.125,114,'16,65',📂,Osc não disponíveis
,,XRTE,22:45:08.116,19:45:08.116,,,SFs não disponíveis,📂
43,27/03/25,XRTE,21:47:56.187 ,18:47:56.187,,,SFs não disponíveis,📂
44,30/03/25,XRTE,13:51:08.639 ,10:51:08.639,,,SFs não disponíveis,📂
45,03/04/25,XRTE,19:44:35.486 ,16:44:35.486,,,SFs não disponíveis,📂
46,14/04/25,BMTE,10:35:59.908 ,07:35:59.908,115,'4,93',📂,Osc não disponíveis
47,14/04/25,XRTE,10:35:59.908 ,07:35:59.908,154,,📂,📂
48,14/04/25,BMTE,10:37:47.058,07:37:47.058,165,'7,8',📂,Osc não disponíveis
49,14/04/25,XRTE,10:37:47.058,07:37:47.058,,,📂,📂
50,20/04/25,BMTE,00:10:33.822,21:10:33.822*,15,'7,5',📂,Osc não disponíveis
,,XRTE,00:10:33.822,21:10:33.822*,215,'8,4',📂,📂
51,03/05/25,BMTE,12:03:24.816,09:03:24.816,21,'6,7',📂,Osc não disponíveis
,,XRTE,12:03:24.816,09:03:24.816,262,'7,9',📂,Osc não disponíveis
52,27/07/25,BMTE,20:06:40.675,17:06:40.675,72,'3,01',📂,Osc não disponíveis
53,13/08/25,BMTE,15:58:30.950,12:58:30.950,52,,📂,Osc não disponíveis
54,20/08/25,XRTE,04:03:34.387,01:03:34.387,,,SFs não disponíveis,📂
,,XRTE,04:03:34.557,01:03:34.557,,,SFs não disponíveis,📂
55,31/08/25,BMTE,09:26:47.083,06:26:47.083,,'2,1',📂,Osc não disponíveis
56,21/09/25,BMTE,07:05:23.700,04:05:23.700,,,📂,Osc não disponíveis
57,22/09/25,XRTE,13:58:08.900,10:58:08.900,,,SFs não disponíveis,📂
58,04/10/25,BMTE,19:53:46.900,16:53:46.900,,,📂,Osc não disponíveis
59,12/10/25,FURNAS,18:59:01.485,15:59:01.485,,,SFs não disponíveis,📂
60,14/10/25,FURNAS,03:23:30.430,00:23:40.430,,,SFs não disponíveis,📂
61,14/10/25,FURNAS,03:27:50.069,00:27:50.069,,,SFs não disponíveis,📂
62,14/10/25,BMTE,07:43:59.725,04:43:59.725,180,'1,21',📂,Osc não disponíveis
63,31/10/25,BMTE,16:24:18.516,13:24:18.516,,,📂,Osc não disponíveis
64,31/10/25,BMTE,16:37:47.025,13:37:47.025,,,📂,Osc não disponíveis
65,06/11/25,BMTE,18:37:32.275,15:37:32.275,,,📂,Osc não disponíveis
66,11/11/25,BMTE,11:06:14.641,08:06:14.641,,,📂,Osc não disponíveis
67,12/11/25,FURNAS,18:00:34.203,15:00:34.203,,,SFs não disponíveis,📂
68,10/12/25,FURNAS,13:38:43.320,10:38:43.320,,,SFs não disponíveis,📂
69,10/12/25,FURNAS,13:38:53.311,13:38:53.311,,,SFs não disponíveis,📂
70,10/12/25,FURNAS,14:10:15.000,11:10:15.000,,,SFs não disponíveis,📂
71,10/12/25,FURNAS,14:10:19.000,11:10:19.000,,,SFs não disponíveis,📂
72,29/12/25,BMTE,17:52:19.241,14:52:19.241,,,📂,Osc não disponíveis
73,03/01/26,FURNAS,11:21:53.097,08:21:53.097,,,📂,📂
74,08/01/26,FURNAS,19:19:08.076,16:19:08.076,,,📂,📂
75,10/01/26,FURNAS,14:54:03.141,11:54:03.141,,,📂,📂
76,10/01/26,FURNAS,16:02:46.344,13:02:46.344,,,📂,📂
77,11/01/26,BMTE,05:25:29.575,02:25:29.575,,,📂,Osc não disponíveis
78,11/01/26,BMTE,08:14:35.566,05:14:35.566,,,📂,Osc não disponíveis
,,FURNAS,08:14:35.764,05:14:35.764,,,📂,📂
79,15/01/26,BMTE,16:51:59.991,13:51:59.991,,,📂,Osc não disponíveis
80,19/01/26,BMTE,19:37:00.958,16:37:00.958,,,📂,Osc não disponíveis
81,30/01/26,BMTE,07:28:08.291,04:28:08.291,,,,
